"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"百三十" "青" "BLUE; green" "A Blue ""growing plant"" on the pale Moon. For component meanings – picture the moon being in a pure, clear, calm sky" "clarity, purity, calm" "青年：せいねん" "青い：あおい" "青白い：あおしろい" "青ざめる：あおざめる"  
"百三十一" "麦" "WHEAT, grain" "A growing plant with 'walking legs'. Imagine a Wheat crop blowing in the wind, back and forth like like the motion of Walking legs"  "小麦：こむぎ" "大麦：おおむぎ" "ライ麦：ライむぎ" "麦畑：むぎばたけ" "蕎麦：そば" 
"百三十二" "素" "ELEMENT | PLAIN; bare" "Imagine pulling off all the cotton 'thread' off a growing cotton plant – leaving it Plain and bare, back to its Elemental state"  "水素：すいそ" "素手：すで" "素足：すあし" "素人：しろうと"  
"百三十三" "毒" "POISON" "A mother in front of a strange ""growing plant"", arms outstretched,  stopping her child from going near"  "毒素：どくそ" "毒舌：どくぜつ" "毒ガス：どくガス" "中毒：ちゅうどく" "気の毒な：きのどくな" 
"百三十四" "先" "AHEAD (of), previous" "A sprout on top but fully grown legs (roots) on the bottom: the roots have grown Ahead of the leaves"  "先月：せんげつ" "先行する：せんこうする" "三キロ先に：さんキロさきに" "刃先：はさき" "行き先：いきさき・ゆきざき" 
"百三十五" "洗" "WASH" "Water + ahead of. Always Wash your hands before (Ahead of) a meal."  "水洗：すいせん" "洗車：せんしゃ" "洗う：あらう" "手洗い：てあらい"  
"百三十六" "元" "ORIGIN" "See the first stroke as a 'thing' and the lower part as 'the legs it stands on, that brought it to where it is' - i.e. its Origin"  "元素：げんそ" "元気：げんき" "元金：がんきん" "火の元：ひのもと" "元々：もともと" 
"百三十七" "光" "LIGHT, glow" "Imagine speckles of dust dancing around in the Light, looking like little Legs"  "日光：にっこう" "月光：げっこう" "光年：こうねん" "光る：ひかる" "光ファイバー：ひかりファイバー" 
"百三十八" "去" "GO AWAY, leave; go by, elapse" "A bent elbow, digging under the Soil to ""Get away"""  "去る：さる" "洗い去る：あらいさる" "立ち去る：たちさる" "取り去る：とりさる" "去年：きょねん" 
"百三十九" "法" "LAW | METHOD, way" "Ancient Laws would have regulated the flow of Water to prevent it Going (flowing) Away and being wasted"  "法案：ほうあん" "法学：ほうがく" "法学部：ほうがくぶ" "手法：しゅほう" "生活法：せいかつほう" 
"百四十" "走" "RUN" "Soil and foot 足  ""hit the ground running"". Of course, you close your mouth when you run"  "走者：そうしゃ" "走行：そうこう" "走る：はしる" "走り書き：はしりがき" "走り去る：はしりさる" 
"百四十一" "当" "THE PRESENT, the said, this/that | HIT (the mark); correspond to; allot" "Picture a brush Hitting the canvas and making a splash of paint. This becomes the Present stroke of the painting"  "当日：とうじつ" "本当の：ほんとうの" "当たる：あたる" "日当たる：ひあたり" "一日当たり千円：いちにちあたりせんえん" 
"百四十二" "思" "THINK, feel; wish" "Part of a farmer's Rice field is always in his Heart / Mind, when he Thinks and Wishes about his farming"  "思案する：しあんする" "思う：おもう" "思い付く：おもいつく" "思い切る：おもいきる" "思い出：おもいで" 
"百四十三" "早" "EARLY | QUICK" "Better go out Early / Quickly, before the Sun gets hot at Ten o'clock"  "お早う：おはよう" "早立ち：はやだち" "早めに：はやめに" "早口：はやくち" "早々：そうそう・はやばや" 
"百四十四" "草" "GRASS" "Grass seems to always be growing Quickly"  "毒草：どくそう" "草木：そうもく" "草書：そうしょ" "草案：そうあん" "草花：くさばな・そうか" 
"百四十五" "朝" "MORNING / DYNASTY" "The Morning is the time between 10pm and 10am when the Sun and the Moon coexist in the sky (kind of)"  "早朝：そうちょう" "朝日：あさひ" "毎朝：まいあさ" "朝早く：あさはやく" "王朝：おうちょう" 
"百四十六" "潮" "(morning) TIDE" "The Tide is the Water that comes in every Morning"  "塩水：しおみす" "塩入：しおいり"    
"百四十七" "形" "SHAPE, material form" "See a stone torii gate being SHAPED by three strokes of a chisel, defining its Material form"  "体形：たいけい" "人形：にんぎょう" "形成する：けいせいする" "形だけ：かたちだけ" "花形：はながた" 
"百四十八" "発" "START, generate | EMIT, issue | OPEN UP, develop"   "発明：はつめい" "発つ：たつ" "発する：はっする" "発行する：はっこうする" "発見：はっけん" 
"百四十九" "廃" "ABANDON, abolish | WASTE" "See the enclosing shape as shelter; what was Started has been ABANDONED and stored away in a Shelter"  "廃止する：はいしする" "廃案：はいあん" "全廃：ぜんぱい" "廃れる：すたれる" "廃ガス：はいガス " 
"百五十" "音" "SOUND"   "発音：はつおん" "本音：ほんね" "母音：ぼいん、ぼおん" "子音：しいん、しおん" "足音：あしおと" 
"百五十一" "意" "MIND, thoughts; opinion; will | MEANING, sense"   "意見：いけん" "好意：こうい" "用意する：よういする" "不意に：ふいに" "文意：ぶんい" 
"百五十二" "作" "MAKE, produce, cultivate | WORK, do"   "作成する：さくせいする" "麦作：むぎさく" "作る：つくる" "作用：さよう" "作法：さほう" 
"百五十三" "昨" "YESTERDAY | LAST"        
"百五十四" "雨" "RAIN"        
"百五十五" "電" "ELECTRICITY"        
"百五十六" "頁" "PAGE"        
"百五十七" "首" "HEAD | NECK | LEADER"        
"百五十八" "道" "WAY" "The left part means Road. The Road that the Leader takes is the Way"       
"百五十九" "通" "PASS (through) | COMMUNICATE"        
"百六十" "乳" "MILK, breast"        
"百六十一" "豆" "(soy) BEAN, pea"        
"百六十二" "頭" "HEAD, top, beginning"        
"百六十三" "予" "IN ADVANCE"        
"百六十四" "矛" "HALBERD"        
"百六十五" "預" "DEPOSIT"        
"百六十六" "句" "PHRASE | HAIKU"        
"百六十七" "旬" "TEN-DAY PERIOD" "It takes ten Days (suns) to write a Haiku"       
"百六十八" "勺" "SHAKU (volume: 0.018 litres)"   "一勺：いっしゃく"     
"百六十九" "的" "TARGET | ADJECTIVAL SUFFIX"        
"百七十" "約" "PROMISE | SHORTEN, summarise | APPROXIMATELY"        
"百七十一" "勿" "DO NOT, not, never" "DO NOT argue with a woolly mammoth" "woolly mammoth"      
"百七十二" "物" "THING"        
"百七十三" "方" "Direction, side; locality; person | WAY, method | SQUARE"        
"百七十四" "防" "DEFEND AGAINST"        
"百七十五" "面" "FACE; facet; surface; mask"        
"百七十六" "画" "PICTURE; draw; kanji stroke | DRAW UP A PLAN"        
"百七十七" "両" "BOTH"        
"百七十八" "岡" "HILL"        
"百七十九" "満" "FULL, whole"        
"百八十" "顔" "FACE"        
"百八十一" "産" "GIVE BIRTH | PRODUCE"        
"百八十二" "同" "SAME, similar"        
"百八十三" "向" "TURN TOWARD, direction; other side"        
"百八十四" "尚" "STILL (MORE) | VALUE HIGHLY"        
"百八十五" "高" "HIGH, tall; expensive | AMOUNT, quantity"        
"百八十六" "圧" "PRESSURE; overwhelm"        
"百八十七" "地" "GROUND, land | PLACE"        
"百八十八" "池" "POND, reservioir"        
"百八十九" "他" "OTHER"        
"百九十" "集" "GATHER, collect"        
"百九十一" "進" "ADVANCE"        
"百九十二" "込" "MOVE INWARD, into | EMPHATIC VERBAL SUFFIX"        
"百九十三" "斤" "KIN (600 grams)"        
"百九十四" "近" "NEAR | RECENT"        
"百九十五" "辺" "VICINITY, side | BORDERLAND, outer regions"        
"百九十六" "最" "MOST, -est"        
"百九十七" "皿" "PLATE"        
"百九十八" "血" "BLOOD"        
"百九十九" "温" "WARM"        
"二百" "湿" "MOIST"        
"二百一" "爪" "CLAW, nail, plectrum"        
"二百二" "瓜" "MELON, gourd"        
"二百三" "巾" "CLOTH"        
"二百四" "布" "CLOTH | SPREAD"        
"二百五" "市" "CITY | MARKET"        
"二百六" "吊" "HANG, suspend"        
"二百七" "泉" "(water) SPRING" "White Water bubbling up at the mouth of a SPRING"       
"二百八" "原" "PLAIN, field | ORIGINAL, primitive"        
"二百九" "源" "SOURCE, origin"        
"二百十" "線" "LINE"        
"二百十一" "綿" "COTTON"        
"二百十二" "絹" "SILK"        
"二百十三" "錦" "BROCADE"        
"二百十四" "願" "WISH | ASK A FAVOUR"        
"二百十五" "内" "INSIDE"        
"二百十六" "肉" "FLESH"        
"二百十七" "猪" "WILD BOAR"        
"二百十八" "豚" "PIG"        
"二百十九" "家" "HOUSE, home | FAMILY, household"        
"二百二十" "吾" "EGO, I"        
"二百二十一" "我" "SELF" "A hand holding a spear – picture a man carrying the spear; knowing that he must fend for himSELF"       
"二百二十二" "語" "WORD | LANGUAGE | TELL"        
"二百二十三" "伝" "TRANSMIT"        
"二百二十四" "転" "TURN, roll over; turn into"        
"二百二十五" "芸" "ART, craft, performance"        
"二百二十六" "会" "MEET, gather | SOCIETY"        
"二百二十七" "合" "COMBINE, join | FIT"        
"二百二十八" "今" "PRESENT, now | THIS"        
"二百二十九" "令" "COMMAND"        
"二百三十" "念" "THOUGHTS, mind, wish"        
"二百三十一" "印" "SEAL, mark"        
"二百三十二" "命" "ORDER, command | LIFE | FATE"        
"二百三十三" "亡" "DECEASED"        
"二百三十四" "米" "RICE | AMERICA"        
"二百三十五" "粒" "GRAIN"        
"二百三十六" "和" "HARMONIOUS | PEACE, calm, JAPAN"        
"二百三十七" "私" "PRIVATE, I"        
"二百三十八" "広" "WIDE, spacious"        
"二百三十九" "細" "SLENDER, MINUTE"        
"二百四十" "林" "FOREST"        
"二百四十一" "森" "THICK WOODS"        
"二百四十二" "松" "PINE"        
"二百四十三" "竹" "BAMBOO"        
"二百四十四" "都" "METROPOLIS, capital | METROPOLIS OF TOKYO"        
"二百四十五" "京" "CAPITAL | TOKYO | KYOTO"        
"二百四十六" "政" "POLITICAL ADMINISTRATION"        
"二百四十七" "府" "URBAN PREFECTURE (Kyoto or Osaka) | GOVERNMENT OFFICE"        
"二百四十八" "戸" "DOOR | HOUSEHOLD"        
"二百四十九" "所" "PLACE, point, part | PARTICLE OF NOMINALISATION (""__ation"")"        
"二百五十" "至" "COME TO; utmost"        
"二百五十一" "致" "BRING ABOUT, lead to | DO HUMBLY"        
"二百五十二" "屋" "HOUSE; roof | SMALL SHOP"        
"二百五十三" "室" "ROOM, chamber"        
"二百五十四" "古" "OLD"        
"二百五十五" "居" "BE PRESENT | RESIDE"        
"二百五十六" "局" "BUREAU, office | LIMITED PART, locality | SITUATION"        
"二百五十七" "故" "OLD; the late | INCIDENT | REASON, cause"        
"二百五十八" "胡" "NATIVES OF ANCIENT CHINA"        
"二百五十九" "湖" "LAKE"        
"二百六十" "固" "SOLID | FIRM"        
"二百六十一" "箇" "COUNTER FOR ITEMS; item"        
"二百六十二" "個" "INDIVIDUAL, single unit | GENERAL COUNTER (for things or articles)"        
"二百六十三" "且" "AS WELL AS, moreover, both … and …"        
"二百六十四" "組" "ORGANISE | ASSEMBLE"        
"二百六十五" "夕" "EVENING"        
"二百六十六" "外" "OUTSIDE; remove, come off"        
"二百六十七" "多" "MANY; most"        
"二百六十八" "汐" "EVENING TIDE"        
"二百六十九" "名" "NAME; fame; first-rate"        
"二百七十" "天" "HEAVEN; weather; nature"        
"二百七十一" "未" "NOT YET"        
"二百七十二" "末" "LAST PART; end"        
"二百七十三" "味" "TASTE, flavour; contents"        
"二百七十四" "来" "COME"        
"二百七十五" "新" "NEW"        
"二百七十六" "親" "PARENT | RELATIVES | INTIMATE, friendly"        
"二百七十七" "欠" "LACK, want"        
"二百七十八" "次" "NEXT, second(ary), numerical order"        
"二百七十九" "席" "SEAT"        
"二百八十" "度" "DEGREE | TIME"        
"二百八十一" "渡" "CROSS, ford"        
"二百八十二" "限" "LIMIT, bounds"        
"二百八十三" "銀" "SILVER"        
"二百八十四" "根" "ROOT"        
"二百八十五" "良" "GOOD"        
"二百八十六" "郎" "YOUNG MAN | MALE NAME SUFFIX"        
"二百八十七" "廊" "CORRIDOR, gallery"        
"二百八十八" "食" "EAT | FOOD"        
"二百八十九" "飲" "DRINK"        
"二百九十" "官" "GOVERNMENT | GOVERNMENT OFFICIAL"        
"二百九十一" "館" "PUBLIC BUILDING"        
"二百九十二" "宿" "LODGE"        
"二百九十三" "犬" "DOG"        
"二百九十四" "太" "GREAT, extremely large | THICK, fat"        
"二百九十五" "器" "VESSEL, container | INSTRUMENT"        
"二百九十六" "凶" "MISFORTUNE | EVIL"        
"二百九十七" "区" "DIVIDE INTO SECTIONS | DISTRICT | WARD, borough"        
"二百九十八" "図" "DRAWING, plan"        
"二百九十九" "番" "NUMERICAL ORDER | WATCH, duty"        
"三百" "号" "NUMBER | DESIGNATION, title, name | SIGN, signal"        
"三百一" "品" "ARTICLE, GRADE OF EXCELLENCE | CLASSIFICATION"        
"三百二" "楽" "PLEASURE | COMFORTABLE | MUSIC"        
"三百三" "薬" "DRUG, chemical"        
"三百四" "周" "PERIPHERY, around; cycle"        
"三百五" "週" "WEEK"        
"三百六" "調" "TONE, note, condition | INVESTIGATE | PREPARE, make ready"        
"三百七" "束" "TIE UP | BUNDLE"        
"三百八" "整" "PUT IN ORDER"        
"三百九" "数" "NUMBER, quantity, count"        
"三百十" "類" "KIND, type"        
"三百十一" "示" "SHOW"        
"三百十二" "禁" "PROHIBIT"        
"三百十三" "礼" "ETIQUETTE | RITE"        
"三百十四" "社" "COMPANY | SOCIETY | SHINTO SHRINE"        
"三百十五" "申" "REPORT (to superior) | SPEAK HUMBLY"        
"三百十六" "神" "GOD, spirit"        
"三百十七" "員" "MEMBER, personnel"        
"三百十八" "質" "QUALITY, nature | MATTER, substance | PAWN, hostage"        
"三百十九" "党" "PARTY"        
"三百二十" "堂" "HALL, public building"        
"三百二十一" "常" "NORMAL | REGULAR"        
"三百二十二" "賞" "PRIZE, praise"        
"三百二十三" "償" "RECOMPENSE, make up for"        
"三百二十四" "掌" "PALM OF ONE'S HAND | TAKE CHARGE OF"        
"三百二十五" "覚" "PERCEIVE, sense; realise | WAKE UP | COMMIT TO MEMORY"        
"三百二十六" "悟" "AWAKE TO, comprehend"        
"三百二十七" "感" "SENSE, feel"        
"三百二十八" "央" "CENTRE"        
"三百二十九" "映" "REFLECT | PROJECT"        
"三百三十" "決" "DECIDE, resolve, settle"        
"三百三十一" "快" "PLEASANT, comfortable, quick"        
"三百三十二" "英" "DISTINGUISHED | ENGLAND"        
"三百三十三" "並" "LINE UP, place in a row; average, ordinary"        
"三百三十四" "平" "FLAT; impartial; plain | CALM"        
"三百三十五" "半" "HALF"        
"三百三十六" "馬" "HORSE"        
"三百三十七" "尺" "SHAKU (length: 30.3 centimetres); measure"        
"三百三十八" "尽" "EXHAUST, use up"        
"三百三十九" "駅" "STATION"        
"三百四十" "鳥" "BIRD"        
"三百四十一" "島" "ISLAND"        
"三百四十二" "角" "ANGLE, corner | HORN"        
"三百四十三" "虫" "INSECT, worm"        
"三百四十四" "触" "TOUCH, come in contact with"        
"三百四十五" "解" "TAKE APART | DISSOLVE | CLARIFY, solve"        
"三百四十六" "独" "ALONE, by oneself"        
"三百四十七" "店" "SHOP"        
"三百四十八" "占" "OCCUPY, hold | DIVINE"        
"三百四十九" "点" "POINT, dot"        
"三百五十" "士" "MILITARY MAN | MAN OF LEARNING, professional suffix"        
"三百五十一" "商" "TRADE, commerce"        
"三百五十二" "買" "BUY"        
"三百五十三" "売" "SELL"        
"三百五十四" "続" "CONTINUE"        
"三百五十五" "読" "READ"        
"三百五十六" "共" "JOINT, together"        
"三百五十七" "供" "OFFER, submit"        
"三百五十八" "洪" "FLOOD"        
"三百五十九" "昔" "FORMER TIMES"        
"三百六十" "冬" "WINTER"        
"三百六十一" "寒" "COLD"        
"三百六十二" "春" "SPRING"        
"三百六十三" "夏" "SUMMER"        
"三百六十四" "秋" "AUTUMN"        
"三百六十五" "主" "MAIN | LORD, master"        
"三百六十六" "住" "LIVE, inhabit"        
"三百六十七" "駐" "STATIONED"        
"三百六十八" "注" "POUR | CONCENTRATE, pay attention to"        
"三百六十九" "志" "AMBITION, aim"        
"三百七十" "誌" "MAGAZINE, document"        
"三百七十一" "仕" "SERVE | DO"        
"三百七十二" "任" "OFFICE, duty | ENTRUST, leave (up) to"        
"三百七十三" "支" "BRANCH | SUPPORT, prop up | BE OBSTRUCTED"        
"三百七十四" "反" "COUNTER, against, anti-"        
"三百七十五" "坂" "SLOPE"        
"三百七十六" "阪" "SLOPE (name)"        
"三百七十七" "飯" "COOKED RICE | MEAL"        
"三百七十八" "返" "RETURN, send back"        
"三百七十九" "雑" "MISCELLANEOUS | MIXED"        
"三百八十" "乱" "DISORDERED, excessive"        
"三百八十一" "寸" "A BIT OF | SUN (3.03cm)"        
"三百八十二" "寺" "BUDDHIST TEMPLE"        
"三百八十三" "時" "TIME"        
"三百八十四" "持" "HOLD, have, keep"        
"三百八十五" "特" "SPECIAL"        
"三百八十六" "待" "WAIT"        
"三百八十七" "得" "ACQUIRE | GAIN, benefit"        
"三百八十八" "侍" "ATTEND UPON | SAMURAI"        
"三百八十九" "詩" "POETRY"        
"三百九十" "即" "IMMEDIATE | NAMELY, that is"        
"三百九十一" "節" "JOINT, node | SECTION, space; space out, economise | SEASON, time"        
"三百九十二" "筋" "MUSCLE; sinew | THREADLIKE STRUCTURE. thread"        
"三百九十三" "等" "EQUAL; ""and the like"", ""etc"" | CLASS, grade"        
"三百九十四" "均" "EQUAL, even, uniform"        
"三百九十五" "季" "SEASON"        
"三百九十六" "委" "COMMIT"        
"三百九十七" "穴" "HOLE, cave"        
"三百九十八" "空" "SKY, AIR, EMPTY"        
"三百九十九" "友" "FRIEND"        
"四百" "有" "HAVE: exist, there is"        
"四百一" "左" "LEFT"        
"四百二" "右" "RIGHT"        
"四百三" "石" "STONE"        
"四百四" "若" "YOUNG"        
"四百五" "苦" "SUFFERING, hardship | BITTER"        
"四百六" "在" "BE, reside"        
"四百七" "存" "EXIST; be aware of, believe"        
"四百八" "干" "DRY"        
"四百九" "刊" "PUBLISH"        
"四百十" "汗" "SWEAT"        
"四百十一" "竿" "POLE"        
"四百十二" "利" "ADVANTAGE | PROFIT"        
"四百十三" "害" "HARM, hinder"        
"四百十四" "益" "BENEFIT, profit"        
"四百十五" "溢" "SPILL OVER"        
"四百十六" "割" "DIVIDE, cut, break"        
"四百十七" "憲" "CONSTITUTION, code of laws"        
"四百十八" "羽" "FEATHER | WING"        
"四百十九" "翌" "THE FOLLOWING"        
"四百二十" "習" "LEARN, study | CUSTOM, habit"        
"四百二十一" "弓" "BOW"        
"四百二十二" "引" "DRAW (toward), pull (back) | REDUCE"        
"四百二十三" "強" "STRONG"        
"四百二十四" "弱" "WEAK"        
"四百二十五" "風" "WIND | MANNER"        
"四百二十六" "己" "ONESELF"        
"四百二十七" "記" "WRITE DOWN"        
"四百二十八" "紀" "ERA, age | DISCIPLINE. morals"        
"四百二十九" "改" "REFORM, renew"        
"四百三十" "起" "RISE; arise; occur"        
"四百三十一" "姓" "SURNAME"        
"四百三十二" "由" "REASON, cause"        
"四百三十三" "油" "OIL"        
"四百三十四" "井" "WELL"        
"四百三十五" "囲" "ENCLOSE"        
"四百三十六" "丼" "BOWL (of food)"        
"四百三十七" "丁" "TOWN SUBSECTION | MISCELLANEOUS COUNTER"        
"四百三十八" "寧" "COURTEOUS; peaceful"        
"四百三十九" "町" "TOWN, town section"        
"四百四十" "灯" "LAMP"        
"四百四十一" "庁" "GOVERNMENT AGENCY"        
"四百四十二" "貯" "STORE UP, save"        
"四百四十三" "易" "EASY | EXCHANGE | FORTUNE TELLING"        
"四百四十四" "賜" "DEIGN TO GIVE, bestow"        
"四百四十五" "場" "PLACE"        
"四百四十六" "湯" "HOT WATER"        
"四百四十七" "門" "GATE"        
"四百四十八" "間" "SPACE IN BETWEEN, interval"        
"四百四十九" "閉" "CLOSE"        
"四百五十" "開" "OPEN"        
"四百五十一" "関" "CONNECT WITH, concern | barrier"        
"四百五十二" "問" "QUESTION, ask"        
"四百五十三" "聞" "HEAR; ask"        
"四百五十四" "訪" "VISIT"        
"四百五十五" "送" "SEND, transmit"        
"四百五十六" "券" "TICKET | CERTIFICATE"        
"四百五十七" "包" "WRAP | ENCOMPASS"        
"四百五十八" "巻" "ROLL UP, wind | VOLUME"        
"四百五十九" "圏" "SPHERE, circle, range"        
"四百六十" "勝" "WIN | EXCEL"        
"四百六十一" "戦" "WAR, battle, contest"        
"四百六十二" "単" "SINGLE, simple, unit"        
"四百六十三" "簡" "SIMPLE"        
"四百六十四" "過" "PASS BY | EXCEED, over-"        
"四百六十五" "骨" "BONE"        
"四百六十六" "昼" "DAYTIME, midday"        
"四百六十七" "夜" "NIGHT"        
"四百六十八" "液" "LIQUID"        
"四百六十九" "戒" "CAUTION, warn"        
"四百七十" "幾" "HOW MANY | SOME"        
"四百七十一" "畿" "CAPITAL REGION"        
"四百七十二" "磯" "ROCKY BEACH"        
"四百七十三" "機" "MACHINE | AIRCRAFT | OPPORTUNITY"        
"四百七十四" "械" "MECHANICAL CONTRIVANCE"        
"四百七十五" "飛" "FLY; leap"        
"四百七十六" "氏" "FAMILY, clan; surname | COURTESY TITLE"        
"四百七十七" "民" "PEOPLE, nation, race"        
"四百七十八" "紙" "PAPER"        
"四百七十九" "低" "LOW"        
"四百八十" "抵" "RESIST, stand up to"        
"四百八十一" "邸" "STATELY RESIDENCE"        
"四百八十二" "底" "BOTTOM, base"        
"四百八十三" "巨" "GIANT"        
"四百八十四" "臣" "RETAINER, subject"        
"四百八十五" "基" "BASE, foundation"        
"四百八十六" "期" "TERM, period | EXPECT, anticipate"        
"四百八十七" "毛" "HAIR"        
"四百八十八" "尾" "TAIL"        
"四百八十九" "育" "RAISE"        
"四百九十" "羊" "SHEEP, goat"        
"四百九十一" "洋" "OCEAN | WESTERN, foreign"        
"四百九十二" "魚" "FISH"        
"四百九十三" "鮮" "FRESH | VIVID"        
"四百九十四" "蘇" "REVIVE"        
"四百九十五" "詳" "DETAILED"        
"四百九十六" "祥" "AUSPICIOUS"        
"四百九十七" "美" "BEAUTIFUL"        
"四百九十八" "業" "WORK | BUSINESS | INDUSTRY"        
"四百九十九" "実" "REAL, actual, true | FRUIT, bear fruit"        
"五百" "養" "FOSTER, cultivate, raise to maturity"        
"五百一" "様" "MODE, manner, way (of doing), style | FORMAL TITLE"        
"五百二" "企" "SCHEME, project, plan"        
"五百三" "曲" "MUSICAL COMPOSITION | CURVE"        
"五百四" "典" "STANDARD WORK | CANON, authority"        
"五百五" "興" "RISE TO PROSPERITY, rouse up | AMUSEMENT, interest"        
"五百六" "輿" "PALANQUIN"        
"五百七" "竜" "DRAGON"        
"五百八" "滝" "WATERFALL"        
"五百九" "籠" "BASKET, confine (oneself) in"        
"五百十" "辰" "(sign of) THE DRAGON"        
"五百十一" "農" "FARMING"        
"五百十二" "濃" "THICK, concentrated"        
"五百十三" "豊" "ABUNDANT"        
"五百十四" "吉" "LUCKY"        
"五百十五" "詰" "STUFF | REPRIMAND"        
"五百十六" "結" "TIE | CONCLUDE"        
"五百十七" "投" "THROW | SEND IN (to), submit"        
"五百十八" "役" "SERVICE, duty, office(r)"        
"五百十九" "没" "SINK, fall in"        
"五百二十" "設" "SET UP, establish"        
"五百二十一" "段" "STEP, stage"        
"五百二十二" "殺" "KILL"        
"五百二十三" "刹" "TEMPLE"        
"五百二十四" "刈" "CLIP, crop"        
"五百二十五" "絵" "PICTURE, painting"        
"五百二十六" "給" "SUPPLY | PAY"        
"五百二十七" "巴" "CIRCULAR COMMA PATTERN"        
"五百二十八" "色" "COLOUR, character | EROS"        
"五百二十九" "声" "VOICE"        
"五百三十" "眉" "EYEBROW"        
"五百三十一" "里" "VILLAGE, countryside | LEAGUE, RI (~3.9km)"        
"五百三十二" "理" "REASON, logic | BASIC PRINCIPLE, law | MANAGE, put in order"        
"五百三十三" "埋" "BURY, be buried"        
"五百三十四" "野" "FIELD | WILD, rustic"        
"五百三十五" "黒" "BLACK"        
"五百三十六" "墨" "INDIA INK"        
"五百三十七" "童" "CHILD"        
"五百三十八" "量" "QUANTITY, weigh(t), measure"        
"五百三十九" "重" "HEAVY | PILE ON TOP OF; layer, -ply; duplicate"        
"五百四十" "動" "MOVE"        
"五百四十一" "働" "WORK"        
"五百四十二" "労" "LABOUR"        
"五百四十三" "協" "COOPERATE"        
"五百四十四" "種" "VARIETY, type | SEED"        
"五百四十五" "亜" "SUB- | PHONETIC (ア)"        
"五百四十六" "悪" "BAD"        
"五百四十七" "要" "IMPORTANT, essential | SUMMARISE | REQUIRE, required"        
"五百四十八" "価" "PRICE | VALUE"        
"五百四十九" "必" "WITHOUT FAIL, must"        
"五百五十" "証" "PROVE; guarantee | CERTIFICATE"        
"五百五十一" "歪" "DISTORT, strain"        
"五百五十二" "否" "SAY NO | OR NOT"        
"五百五十三" "処" "DEAL WITH, dispose of"        
"五百五十四" "拠" "GROUNDS, basis"        
"五百五十五" "計" "PLAN | COMPUTE, calculate"        
"五百五十六" "針" "NEEDLE"        
"五百五十七" "総" "WHOLE, total | GENERAL"        
"五百五十八" "窓" "WINDOW"        
"五百五十九" "矢" "ARROW"        
"五百六十" "知" "KNOW"        
"五百六十一" "医" "MEDICINE | DOCTOR"        
"五百六十二" "短" "SHORT"        
"五百六十三" "失" "LOSE | SLIP"        
"五百六十四" "鉄" "IRON"        
"五百六十五" "夫" "HUSBAND | MALE LABOURER"        
"五百六十六" "朱" "VERMILION"        
"五百六十七" "株" "STOCK, stub"        
"五百六十八" "族" "FAMILY, tribe"        
"五百六十九" "旅" "TRAVEL"        
"五百七十" "遊" "PLAY | TOUR"        
"五百七十一" "施" "EXECUTE | BESTOW"        
"五百七十二" "旋" "GYRATE"        
"五百七十三" "旗" "FLAG"        
"五百七十四" "放" "LET GO"        
"五百七十五" "激" "VIOLENT, intense | AROUSE, excite"        
"五百七十六" "牧" "PASTURE, tend cattle"        
"五百七十七" "位" "RANK | POSITION"        
"五百七十八" "泣" "CRY"        
"五百七十九" "笑" "LAUGH, smile"        
"五百八十" "専" "EXCLUSIVELY, entirely"        
"五百八十一" "恵" "FAVOUR, kindness"        
"五百八十二" "連" "LINK, connect | IN SUCCESSION, in a row"        
"五百八十三" "軍" "ARMY, military"        
"五百八十四" "運" "CARRY, transport | MOVE | FORTUNE, fate"        
"五百八十五" "蓮" "LOTUS"        
"五百八十六" "隊" "PARTY, corps"        
"五百八十七" "呈" "PRESENT (to)"        
"五百八十八" "程" "EXTENT | ESTABLISHED FORM"        
"五百八十九" "聖" "HOLY | SAINT"        
"五百九十" "丑" "(sign of) THE OX"        
"五百九十一" "紐" "STRING, cord"        
"五百九十二" "革" "LEATHER | REFORM, change"        
"五百九十三" "靴" "SHOES"        
"五百九十四" "鞄" "SUITCASE, bag"        
"五百九十五" "皮" "SKIN, leather"        
"五百九十六" "破" "BREAK"        
"五百九十七" "彼" "THIRD PERSON PRONOUN, boyfriend/ girlfriend"        
"五百九十八" "波" "WAVE, undulation"        
"五百九十九" "果" "FRUIT, result | ACCOMPLISH; come to an end"        
"六百" "課" "ASSIGNMENT, task, lesson | ASSIGN, impose, levy"        
"六百一" "巣" "NEST"        
"六百二" "菓" "CONFECTIONERY"        
"六百三" "茶" "TEA"        
"六百四" "世" "WORLD, public | AGE, generation"        
"六百五" "葉" "LEAF"        
"六百六" "棄" "ABANDON, throw away"        
"六百七" "緑" "GREEN"        
"六百八" "録" "RECORD, register"        
"六百九" "剝" "STRIP OFF, peel off, come off"        
"六百十" "縁" "RELATION | EDGE"        
"六百十一" "介" "MEDIATE, lie between; shellfish"        
"六百十二" "界" "WORLD, area | BOUNDS, boundary"        
"六百十三" "浮" "FLOATING, transient"        
"六百十四" "将" "GENERAL OFFICER"        
"六百十五" "奨" "ENCOURAGE, promote"        
"六百十六" "状" "FORM, shape | CONDITION, state | LETTER, note"        
"六百十七" "病" "ILLNESS"        
"六百十八" "症" "PATHOOGICAL CONDITION, -osis"        
"六百十九" "痛" "PAIN | ACUTE"        
"六百二十" "憶" "REMEMBER, think"        
"六百二十一" "臆" "FEEL TIMID, think"        
"六百二十二" "億" "HUNDRED MILLION"        
